file,text_id,strategy,error,parse_success
Results/Readability_Results/dataset_with_readability.csv,22,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,22,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,22,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,22,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,23,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,23,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,23,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,23,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,24,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,24,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,24,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,24,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,25,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,25,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,25,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,25,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,26,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,26,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,26,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,26,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,27,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,27,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,27,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,27,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,28,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,28,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,28,persona2,Connection error.,False
