file,text_id,strategy,error,parse_success,voice_total,accuracy_total,accessibility_score,overall_summary,raw_output
Results/Voice_Metrics/dataset_with_voice_metrics.csv,16,persona3,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,17,lexical,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,17,persona1,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,17,persona2,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,17,persona3,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,18,lexical,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,18,persona1,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,18,persona2,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,18,persona3,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,19,lexical,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,19,persona1,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,19,persona2,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,19,persona3,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,20,lexical,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,20,persona1,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,20,persona2,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,20,persona3,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,21,lexical,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,21,persona1,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,21,persona2,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,21,persona3,Connection error.,False,,,,,
Results/Voice_Metrics/dataset_with_voice_metrics.csv,22,lexical,Connection error.,False,,,,,
