,Lexical,Persona1,Persona2,Persona3
Hedging Density,-0.04057576043124837,-0.12979696572619376,-0.09918874142441331,-0.11834201800587713
Attribution Markers,0.01630520041020555,0.008574580109924193,0.02519463886119113,-0.009298059242075926
Art Term Density,0.13749539868614488,0.09179277118548565,0.050025905264267534,0.08721894579252773
Semantic Similarity,0.18532066104434178,0.03727321062882613,-0.12439850084249598,-0.1493665081475698
BERTScore F1,0.4979685289884411,0.16858010675576382,-0.12794765548165432,0.08940746526184198
Entity Preservation,0.006894949345972027,0.03914363234116894,-0.014184403292171171,0.04614032412543748
